Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
NGN0496,MiMammal,15648,7608,7596,7587,7479,7479,7479
NGN0497,MiMammal,12575,6132,6110,6111,6101,6101,6101
NGN0498,MiMammal,12157,6478,6458,6424,6399,6399,6399
NGN0499,MiMammal,11338,4767,4765,4758,4757,4757,4757
NGN0500,MiMammal,14173,6089,6064,6062,5962,5962,5962
NGN0501,MiMammal,9676,5122,5103,5098,5096,5096,5096
NGN0502,MiMammal,12237,6885,6831,6830,6793,6793,6793
NGN0503,MiMammal,22045,9090,9016,9001,8991,8991,8991
NGN0504,MiMammal,24284,13842,13833,13831,13813,13813,13791
NGN0505,MiMammal,11991,6218,6215,6212,6211,6211,6211
NGN0506,MiMammal,33556,15851,15812,15789,15752,15752,15752
NGN0507,MiMammal,12236,6259,6242,6243,6220,6220,6220
NGN0508,MiMammal,17789,8651,8633,8615,8411,8411,8411
NGN0509,MiMammal,12427,6550,6528,6525,6481,6481,6481
NGN0510,MiMammal,28645,16394,16384,16258,16072,16072,16072
NGN0511,MiMammal,26169,16036,16029,16027,16025,16025,16025
NGN0512,MiMammal,30995,16696,16692,16584,16511,16511,16511
NGN0513,MiMammal,23661,12712,12697,12671,12487,12487,12487
NGN0514,MiMammal,12483,6628,6593,6579,6555,6555,6555
NGN0515,MiMammal,13852,7693,7657,7636,7558,7558,7558
NGN0516,MiMammal,12669,7148,7127,7124,7111,7111,7111
NGN0517,MiMammal,11124,5621,5559,5537,5491,5491,5289
NGN0518,MiMammal,15073,8216,8176,8166,8098,8098,7918
NGN0519,MiMammal,14993,8222,8216,8217,8215,8215,8215
NGN0520,MiMammal,12698,6267,6264,6267,6185,6185,6185
NGN0521,MiMammal,23398,9406,9363,9364,9239,9239,9239
NGN0522,MiMammal,29362,13021,13002,12976,12673,12673,12673
NGN0523,MiMammal,15510,7478,7442,7394,7268,7268,7268
NGN0524,MiMammal,14108,6242,6205,6185,6176,6176,6176
NGN0525,MiMammal,41986,23947,23931,23928,23913,23913,23893
NGN0526,MiMammal,18627,10217,10212,10193,10175,10175,10175
NGN0527,MiMammal,23009,13300,13298,13298,13224,13224,13224
