Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
NGN0496,MiMammal,37288,33872,33853,33656,33398,33398,33260
NGN0497,MiMammal,34524,31318,31207,31240,30639,30639,30639
NGN0498,MiMammal,31440,28749,28680,28722,28345,28345,28195
NGN0499,MiMammal,28152,25761,25750,25749,25318,25318,25318
NGN0500,MiMammal,31092,26957,26930,26779,25618,25618,25618
NGN0501,MiMammal,22594,21227,21193,21179,20640,20640,20640
NGN0502,MiMammal,32492,30208,30179,30178,29489,29489,29480
NGN0503,MiMammal,52436,48931,48869,48858,47510,47510,47481
NGN0504,MiMammal,62841,58435,58429,58422,56880,56880,56734
NGN0505,MiMammal,26690,25116,25113,25110,24508,24508,24508
NGN0506,MiMammal,78530,72002,71918,71903,70047,70047,70033
NGN0507,MiMammal,27279,24912,24883,24827,24523,24523,24523
NGN0508,MiMammal,41062,37574,37547,37445,36849,36849,36661
NGN0509,MiMammal,34236,31023,30827,30795,30020,30020,29571
NGN0510,MiMammal,66844,62512,62406,62473,60478,60478,60381
NGN0511,MiMammal,62783,59567,59553,59546,58054,58054,58048
NGN0512,MiMammal,73782,68261,68252,68250,66412,66412,66283
NGN0513,MiMammal,61476,56246,56217,56206,56098,56098,56098
NGN0514,MiMammal,29313,26629,26591,26556,26532,26532,26532
NGN0515,MiMammal,34872,32713,32630,32621,31708,31708,31690
NGN0516,MiMammal,29789,27871,27828,27804,27074,27074,27074
NGN0517,MiMammal,26950,24254,24175,24121,23672,23672,22815
NGN0518,MiMammal,37561,35007,34851,34932,34025,34025,33238
NGN0519,MiMammal,32930,30437,30418,30338,29679,29679,29679
NGN0520,MiMammal,34082,31131,31123,31122,30272,30272,30272
NGN0521,MiMammal,54387,49107,49036,49028,47468,47468,47105
NGN0522,MiMammal,81489,74789,74730,74570,72133,72133,72133
NGN0523,MiMammal,39227,35461,35403,35395,33983,33983,33948
NGN0524,MiMammal,34343,31483,31463,31457,30761,30761,30761
NGN0525,MiMammal,114283,107431,107354,107314,103538,103538,103102
NGN0526,MiMammal,43647,41349,41338,41330,40127,40127,40085
NGN0527,MiMammal,46826,43865,43862,43860,42605,42605,42605
